#USM00072518 2024 07 04 00 2306  411 ncdc-nws ncdc-gts  426919  -738322
21     0 100290B-8888   271B  430   137   153    51
10     6 100000   137B  265B  442   132   137    62
20    32  98201   300B  250B  462   123   175   109
20    45  97465   363B  244B  471   120   178   132
20   105  96606   440B  237B  486   115   174   152
20   125  95692   523B  229B  501   109   173   151
20   140  94847   600B  221B  514   105   174   143
20   205  93342   739B  209B  539    97   180   154
10   222  92500   817B  203B  557    91   186   152
20   240  91618   900B  196B  574    86   191   144
10   458  85000  1541B  154B  669    61   225    93
20   505  84698  1571B  153B  677    59   228    92
20   528  83674  1674B  147B  708    52   239    98
20   556  82331  1811B  144B  771    40   259   108
20   608  81773  1869B  144B  752    43   266   113
20   621  81211  1927B  146B  676    59   273   113
20   625  81060  1943B  146B  656    63   275   113
20   635  80631  1988B  145B  604    75   274   107
20   645  80186  2035B  148B  421   127   273   100
20   659  79563  2100B  153B  158   258   278   109
20   715  78816  2180B  154B   21   485   276   105
20   725  78441  2220B  153B    5  1612   271    97
20   730  78274  2238B  152B    0 -9999   271    98
20   745  77608  2310B  148B    0 -9999   269    99
20   756  77073  2369B  148B    0 -9999   273   103
20   805  76677  2412B  148B    0 -9999   277   108

