#USM00072558 2025 03 08 12 1110  212 ncdc-nws           413200  -963669
21     0  97904B-8888   -44B  880    17   286    21 
20    15  96697   449B  -34B  649    56   277    47 
20    28  95848   520B  -19B  569    74   299    38 
20    44  94882   600B   -5B  422   112   292    27 
20    46  94768   610B   -3B  405   117   290    26 
20   112  93057   755B   -7B  276   163   245    33 
10   122  92500   803B   -4B  197   203   242    38 
20   125  92276   822B   -2B  166   223   241    40 
20   127  92122   835B   -1B  147   236   243    39 
20   138  91384   900B    7B   69   318   257    33 
20   139  91319   906B    7B   62   329   259    33 
20   207  89687  1050B    3B   10   498   276    42 
20   217  89127  1100B    0B   11   490   284    42 
20   235  88027  1200B   -7B   46   356   292    45 
20   245  87435  1253B  -11B   78   301   294    48 
20   305  86178  1369B  -18B  147   232   283    52 
10   325  85000  1478B  -22B  183   208   290    64 
20   328  84870  1490B  -22B  184   208   292    64 
20   422  82033  1759B  -16B   99   276   315    85 
20   425  81829  1780B  -17B  101   274   315    85 
20   445  80731  1887B  -23B  112   262   310   100 
20   449  80550  1905B  -24B  114   259   311    98 
20   505  79579  2001B  -29B  103   268   315    92 
20   522  78588  2100B  -33B   87   285   317    95 
20   528  78215  2137B  -34B   80   293   319    97 
20   545  77206  2240B  -35B   45   351   324   104 
20   705  72761  2707B  -56B   16   435   315    90 
20   725  71810  2810B  -62B   17   430   318    92 
10   803  70000  3009B  -75B   10   466   315    94 
20   825  69048  3115B  -83B   10   466   310   111 
20   904  67208  3324B  -98B   10   460   310    93 
20   905  67157  3330B  -98B   10   460   310    93 
20   925  66237  3436B -104B   10   431   313   100 
20   945  65337  3541B -112B   10   429   309   110 
20  1025  63637  3742B -127B   10   423   304    96 
20  1038  63097  3807B -130B   10   423   303    87 
20  1045  62770  3847B -132B   11   414   302    83 
20  1118  61305  4026B -144B   27   340   295   106 
20  1125  61020  4062B -146B   24   351   294   107 
20  1151  59913  4200B -156B   10   413   290    98 
20  1205  59289  4279B -161B   10   414   291    89 
20  1212  58985  4317B -163B   10   414   292    92 
20  1305  56877  4590B -180B   22   349   301   110 
20  1325  56139  4688B -188B  139   192   298   126 
20  1345  55369  4789B -198B  210   153   289   116 
20  1425  53847  4996B -213B  336   108   292   113 
20  1426  53791  5004B -213B  338   107   291   112 
20  1445  53109  5096B -219B  246   136   290    94 
20  1455  52712  5154B -222B  204   153   293    95 
20  1522  51853  5273B -228B  329   108   296   103 
20  1545  51047  5388B -234B  309   114   297   118 
10  1616  50000  5539B -246B  303   114   290   130 
20  1625  49723  5580B -249B  306   113   287   133 
20  1725  48010  5833B -271B  342   101   279   145 
20  1745  47384  5929B -280B  371    93   284   151 
20  1805  46788  6018B -288B  409    84   281   158 
20  1817  46492  6064B -291B  423    81   283   163 
20  1825  46281  6096B -294B  423    80   284   167 
20  1830  46154  6116B -295B  423    80   284   168 
20  1845  45763  6176B -300B  419    81   284   169 
20  1905  45176  6268B -306B  394    86   277   154 
20  1945  44080  6442B -317B  348    96   276   154 
20  2030  42820  6647B -333B  301   107   280   163 
20  2105  41914  6796B -347B  317   102   281   172 
20  2145  40919  6963B -362B  334    96   286   163 
10  2222  40000  7121B -376B  354    90   290   178 
20  2225  39921  7134B -377B  357    89   290   181 
20  2305  39007  7293B -392B  382    83   292   174 
20  2325  38553  7373B -400B  393    80   293   181 
20  2338  38244  7428B -405B  396    79   294   176 
20  2345  38094  7455B -407B  395    79   294   174 
20  2446  36613  7724B -429B  347    88   299   168 
20  2526  35719  7890B -440B  415    73   306   152 
20  2545  35304  7968B -445B  389    77   307   140 
20  2625  34443  8133B -456B  319    92   312   152 
20  2645  34034  8212B -463B  307    95   313   148 
20  2724  33148  8387B -470B  240   113   306   136 
20  2725  33125  8392B -470B  239   113   306   135 
20  2751  32553  8505B -466B  201   126   304   132 
20  2825  31604  8703B -476B  163   140   284   131 
20  2905  30641  8906B -493B  151   144   268   173 
10  2935  30000  9045B -503B  145   145   269   180 
