coloridx,value,r,g,b
1,-32.0,133,113,143
2,-31.5,133,114,143
3,-31.0,134,115,141
4,-30.5,135,117,139
5,-30.0,135,118,139
6,-29.5,136,119,137
7,-29.0,137,121,135
8,-28.5,137,122,135
9,-28.0,138,123,133
10,-27.5,139,125,132
11,-27.0,139,126,132
12,-26.5,140,127,130
13,-26.0,141,129,128
14,-25.5,141,130,128
15,-25.0,142,131,126
16,-24.5,143,132,124
17,-24.0,143,133,124
18,-23.5,144,135,123
19,-23.0,145,136,121
20,-22.5,145,137,121
21,-22.0,146,139,119
22,-21.5,147,141,117
23,-21.0,150,145,83
24,-20.5,152,148,87
25,-20.0,155,151,91
26,-19.5,157,154,96
27,-19.0,160,157,100
28,-18.5,163,160,104
29,-18.0,165,163,109
30,-17.5,168,166,113
31,-17.0,170,169,118
32,-16.5,173,172,122
33,-16.0,176,175,126
34,-15.5,178,178,131
35,-15.0,183,184,140
36,-14.5,186,187,144
37,-14.0,189,190,148
38,-13.5,191,193,153
39,-13.0,194,196,157
40,-12.5,196,199,162
41,-12.0,199,202,166
42,-11.5,202,205,170
43,-11.0,204,208,175
44,-10.5,210,212,180
45,-10.0,207,210,180
46,-9.5,201,204,180
47,-9.0,198,201,180
48,-8.5,195,199,180
49,-8.0,192,196,180
50,-7.5,189,193,180
51,-7.0,185,190,180
52,-6.5,182,187,180
53,-6.0,179,185,180
54,-5.5,176,182,180
55,-5.0,173,179,180
56,-4.5,170,176,180
57,-4.0,164,171,180
58,-3.5,160,168,180
59,-3.0,157,165,180
60,-2.5,154,162,180
61,-2.0,151,160,180
62,-1.5,148,157,180
63,-1.0,145,154,180
64,-0.5,148,155,181
65,0.0,144,152,180
66,0.5,140,149,179
67,1.0,136,146,178
68,1.5,128,140,176
69,2.0,124,137,175
70,2.5,120,134,174
71,3.0,116,131,172
72,3.5,112,128,171
73,4.0,108,125,170
74,4.5,103,121,169
75,5.0,99,118,168
76,5.5,95,115,167
77,6.0,91,112,166
78,6.5,87,109,164
79,7.0,79,103,162
80,7.5,75,100,161
81,8.0,71,97,160
82,8.5,67,94,159
83,9.0,65,91,158
84,9.5,67,97,162
85,10.0,69,104,166
86,10.5,72,111,170
87,11.0,74,118,174
88,11.5,77,125,178
89,12.0,79,132,182
90,12.5,81,139,187
91,13.0,86,153,195
92,13.5,89,159,199
93,14.0,91,166,203
94,14.5,94,173,207
95,15.0,96,180,212
96,15.5,98,187,216
97,16.0,101,194,220
98,16.5,103,201,224
99,17.0,106,208,228
100,17.5,111,214,232
101,18.0,104,214,215
102,18.5,89,214,179
103,19.0,82,214,162
104,19.5,75,214,144
105,20.0,67,214,126
106,20.5,60,214,109
107,21.0,53,214,91
108,21.5,17,213,24
109,22.0,17,209,23
110,22.5,16,205,23
111,23.0,16,200,22
112,23.5,16,196,22
113,24.0,15,188,21
114,24.5,15,183,20
115,25.0,14,179,20
116,25.5,14,175,19
117,26.0,14,171,19
118,26.5,13,166,18
119,27.0,13,162,18
120,27.5,13,158,17
121,28.0,12,153,17
122,28.5,12,149,16
123,29.0,12,145,16
124,29.5,11,136,15
125,30.0,11,132,14
126,30.5,10,128,14
127,31.0,10,124,13
128,31.5,10,119,13
129,32.0,9,115,12
130,32.5,9,111,12
131,33.0,9,107,11
132,33.5,8,102,11
133,34.0,8,98,10
134,34.5,9,94,9
135,35.0,50,115,8
136,35.5,70,125,8
137,36.0,91,136,7
138,36.5,111,146,7
139,37.0,132,157,6
140,37.5,152,168,6
141,38.0,173,178,5
142,38.5,193,189,5
143,39.0,214,199,4
144,39.5,234,210,4
145,40.0,255,226,0
146,40.5,255,216,0
147,41.0,255,211,0
148,41.5,255,206,0
149,42.0,255,201,0
150,42.5,255,196,0
151,43.0,255,192,0
152,43.5,255,187,0
153,44.0,255,182,0
154,44.5,255,177,0
155,45.0,255,172,0
156,45.5,255,167,0
157,46.0,255,162,0
158,46.5,255,153,0
159,47.0,255,148,0
160,47.5,255,143,0
161,48.0,255,138,0
162,48.5,255,133,0
163,49.0,255,128,0
164,49.5,255,0,0
165,50.0,248,0,0
166,50.5,241,0,0
167,51.0,234,0,0
168,51.5,227,0,0
169,52.0,213,0,0
170,52.5,205,0,0
171,53.0,198,0,0
172,53.5,191,0,0
173,54.0,184,0,0
174,54.5,177,0,0
175,55.0,170,0,0
176,55.5,163,0,0
177,56.0,155,0,0
178,56.5,148,0,0
179,57.0,141,0,0
180,57.5,127,0,0
181,58.0,120,0,0
182,58.5,113,0,0
183,59.0,255,255,255
184,59.5,255,245,255
185,60.0,255,234,255
186,60.5,255,223,255
187,61.0,255,212,255
188,61.5,255,201,255
189,62.0,255,190,255
190,62.5,255,179,255
191,63.0,255,157,255
192,63.5,255,146,255
193,64.0,255,117,255
194,64.5,252,107,253
195,65.0,249,96,250
196,65.5,246,86,247
197,66.0,243,75,244
198,66.5,240,64,241
199,67.0,237,54,239
200,67.5,234,43,236
201,68.0,231,32,233
202,68.5,225,11,227
203,69.0,178,0,255
204,69.5,172,0,252
205,70.0,164,0,247
206,70.5,155,0,244
207,71.0,147,0,239
208,71.5,136,0,234
209,72.0,131,0,232
210,72.5,121,0,226
211,73.0,114,0,221
212,73.5,105,0,219
213,74.0,5,236,240
214,74.5,5,235,240
215,75.0,5,234,240
216,75.5,5,221,224
217,76.0,5,220,224
218,76.5,5,219,224
219,77.0,5,205,208
220,77.5,5,204,208
221,78.0,4,189,192
222,78.5,4,188,192
223,79.0,4,187,192
224,79.5,4,174,176
225,80.0,4,173,176
226,80.5,4,158,160
227,81.0,4,157,160
228,81.5,4,156,160
229,82.0,3,142,144
230,82.5,3,141,144
231,83.0,3,140,144
232,83.5,3,126,128
233,84.0,3,125,128
234,84.5,3,111,112
235,85.0,3,110,112
236,85.5,3,109,112
237,86.0,2,95,96
238,86.5,2,94,96
239,87.0,2,79,80
240,87.5,2,78,80
241,88.0,2,77,80
242,88.5,2,63,64
243,89.0,2,62,64
244,89.5,2,61,64
245,90.0,1,48,48
246,90.5,1,47,48
247,91.0,1,32,32
248,91.5,1,31,32
249,92.0,1,30,32
250,92.5,58,103,181
251,93.0,58,102,181
252,93.5,58,101,181
253,94.0,58,100,181
254,94.5,58,99,181
255,95.0,58,98,181
